@relation iris-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-weka.filters.unsupervised.attribute.Standardize

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.932627,-0.293179,0.594677,0.443121,Iris-versicolor
-0.755967,-0.795205,0.31464,0.517873,Iris-versicolor
-1.033755,-2.903549,0.13107,0.17848,Iris-versicolor
0.138534,-0.055009,0.440355,0.587464,Iris-versicolor
0.257574,-2.23396,0.357589,0.17848,Iris-versicolor
0.374646,-0.293179,0.63116,0.517873,Iris-versicolor
-0.231082,-0.293179,0.178858,0.443121,Iris-versicolor
1.039136,0.175352,0.51927,0.517873,Iris-versicolor
-0.231082,-0.055009,0.557393,0.587464,Iris-versicolor
0.017459,-0.795205,0.399477,0.17848,Iris-versicolor
0.489814,-2.23396,0.557393,0.587464,Iris-versicolor
-0.231082,-1.335884,0.31464,0.274617,Iris-versicolor
0.138534,0.398398,0.666874,0.771369,Iris-versicolor
0.374646,-0.539709,0.357589,0.443121,Iris-versicolor
0.60314,-1.335884,0.701852,0.587464,Iris-versicolor
0.374646,-0.539709,0.63116,0.362384,Iris-versicolor
0.714681,-0.293179,0.480272,0.443121,Iris-versicolor
0.932627,-0.055009,0.51927,0.517873,Iris-versicolor
1.144067,-0.539709,0.666874,0.517873,Iris-versicolor
1.039136,-0.055009,0.736123,0.713714,Iris-versicolor
0.257574,-0.293179,0.557393,0.587464,Iris-versicolor
-0.105721,-1.060344,0.13107,0.17848,Iris-versicolor
-0.358702,-1.622673,0.270576,0.274617,Iris-versicolor
-0.358702,-1.622673,0.225337,0.17848,Iris-versicolor
0.017459,-0.795205,0.31464,0.362384,Iris-versicolor
0.257574,-0.795205,0.769716,0.652563,Iris-versicolor
-0.488663,-0.055009,0.557393,0.587464,Iris-versicolor
0.257574,0.824308,0.557393,0.652563,Iris-versicolor
1.039136,0.175352,0.63116,0.587464,Iris-versicolor
0.60314,-1.92167,0.51927,0.443121,Iris-versicolor
-0.231082,-0.055009,0.399477,0.443121,Iris-versicolor
-0.358702,-1.335884,0.357589,0.443121,Iris-versicolor
-0.358702,-1.060344,0.51927,0.362384,Iris-versicolor
0.374646,-0.055009,0.594677,0.517873,Iris-versicolor
0.017459,-1.060344,0.357589,0.362384,Iris-versicolor
-1.033755,-1.92167,0.031254,0.17848,Iris-versicolor
-0.231082,-0.795205,0.440355,0.443121,Iris-versicolor
-0.105721,-0.055009,0.440355,0.362384,Iris-versicolor
-0.105721,-0.293179,0.440355,0.443121,Iris-versicolor
0.489814,-0.293179,0.480272,0.443121,Iris-versicolor
-0.893499,-1.335884,-0.130427,0.274617,Iris-versicolor
-0.105721,-0.539709,0.399477,0.443121,Iris-versicolor
0.60314,0.61458,1.045409,1.102724,Iris-virginica
0.017459,-0.795205,0.769716,0.825905,Iris-virginica
1.449842,-0.055009,1.016897,0.926857,Iris-virginica
0.60314,-0.293179,0.928371,0.771369,Iris-virginica
0.824492,-0.055009,0.987899,0.973781,Iris-virginica
1.931845,-0.055009,1.20709,0.926857,Iris-virginica
-1.176845,-1.335884,0.557393,0.713714,Iris-virginica
1.646597,-0.293179,1.128175,0.771369,Iris-virginica
1.039136,-1.335884,0.987899,0.771369,Iris-virginica
1.548903,1.225867,1.073448,1.102724,Iris-virginica
0.824492,0.398398,0.769716,0.877644,Iris-virginica
0.714681,-0.795205,0.834969,0.825905,Iris-virginica
1.144067,-0.055009,0.897805,0.926857,Iris-virginica
-0.105721,-1.335884,0.736123,0.877644,Iris-virginica
0.017459,-0.539709,0.769716,1.061548,Iris-virginica
0.714681,0.398398,0.834969,1.018619,Iris-virginica
0.824492,-0.055009,0.897805,0.771369,Iris-virginica
2.02443,1.605709,1.2326,0.973781,Iris-virginica
2.02443,-1.060344,1.282497,1.018619,Iris-virginica
0.257574,-2.23396,0.736123,0.587464,Iris-virginica
1.247466,0.398398,0.958396,1.018619,Iris-virginica
-0.231082,-0.539709,0.701852,0.877644,Iris-virginica
2.02443,-0.539709,1.2326,0.877644,Iris-virginica
0.60314,-0.795205,0.701852,0.771369,Iris-virginica
1.039136,0.61458,0.958396,0.926857,Iris-virginica
1.548903,0.398398,1.045409,0.771369,Iris-virginica
0.489814,-0.539709,0.666874,0.771369,Iris-virginica
0.374646,-0.055009,0.701852,0.771369,Iris-virginica
0.714681,-0.539709,0.928371,0.926857,Iris-virginica
1.548903,-0.055009,0.987899,0.652563,Iris-virginica
1.742962,-0.539709,1.073448,0.825905,Iris-virginica
2.206048,1.605709,1.15489,0.877644,Iris-virginica
0.714681,-0.539709,0.928371,0.973781,Iris-virginica
0.60314,-0.539709,0.769716,0.587464,Iris-virginica
0.374646,-1.060344,0.928371,0.517873,Iris-virginica
2.02443,-0.055009,1.073448,1.018619,Iris-virginica
0.60314,0.824308,0.928371,1.061548,Iris-virginica
0.714681,0.175352,0.897805,0.771369,Iris-virginica
0.257574,-0.055009,0.666874,0.771369,Iris-virginica
1.247466,0.175352,0.866678,0.926857,Iris-virginica
1.039136,0.175352,0.928371,1.061548,Iris-virginica
1.247466,0.175352,0.769716,1.018619,Iris-virginica
0.017459,-0.795205,0.769716,0.825905,Iris-virginica
1.144067,0.398398,1.016897,1.018619,Iris-virginica
1.039136,0.61458,0.958396,1.102724,Iris-virginica
1.039136,-0.055009,0.802656,1.018619,Iris-virginica
0.60314,-1.335884,0.736123,0.825905,Iris-virginica
0.824492,-0.055009,0.802656,0.877644,Iris-virginica
0.489814,0.824308,0.866678,1.018619,Iris-virginica
0.138534,-0.055009,0.769716,0.771369,Iris-virginica
